"schemaname","tablename","row_count"
"onet","abilities",92976
"onet","abilities_to_work_activities",381
"onet","abilities_to_work_context",139
"onet","alternate_titles",57543
"onet","basic_interests_to_riasec",53
"onet","content_model_reference",630
"onet","dwa_reference",2087
"onet","education_training_experience",37322
"onet","emerging_tasks",328
"onet","ete_categories",41
"onet","interests",8307
"onet","interests_illus_activities",188
"onet","interests_illus_occupations",186
"onet","iwa_reference",332
"onet","job_zone_reference",4
"onet","job_zones",923
"onet","knowledge",59004
"onet","level_scale_anchors",483
"onet","occupation_data",1016
"onet","occupation_level_metadata",32202
"onet","related_occupations",18460
"onet","riasec_keywords",75
"onet","sample_of_reported_titles",7953
"onet","scales_reference",31
"onet","skills",62580
"onet","skills_to_work_activities",232
"onet","skills_to_work_context",96
"onet","survey_booklet_locations",211
"onet","task_categories",7
"onet","task_ratings",161747
"onet","task_statements",18933
"onet","tasks_to_dwas",23850
"onet","technology_skills",32773
"onet","tools_used",41856
"onet","unspsc_reference",4264
"onet","work_activities",73308
"onet","work_context",297936
"onet","work_context_categories",281
"onet","work_styles",37422
"onet","work_values",7866
